Year,Month,Value,Model,Scenario
2005,9,5.573,ACCESS-ESM1-5,ssp245
2006,3,14.24,ACCESS-ESM1-5,ssp245
2006,9,4.722,ACCESS-ESM1-5,ssp245
2007,3,14.037,ACCESS-ESM1-5,ssp245
2007,9,4.46,ACCESS-ESM1-5,ssp245
2008,3,14.419,ACCESS-ESM1-5,ssp245
2008,9,5.188,ACCESS-ESM1-5,ssp245
2009,3,14.692,ACCESS-ESM1-5,ssp245
2009,9,4.894,ACCESS-ESM1-5,ssp245
2010,3,14.628,ACCESS-ESM1-5,ssp245
2010,9,4.768,ACCESS-ESM1-5,ssp245
2011,3,14.616,ACCESS-ESM1-5,ssp245
2011,9,3.894,ACCESS-ESM1-5,ssp245
2012,3,14.365,ACCESS-ESM1-5,ssp245
2012,9,5.666,ACCESS-ESM1-5,ssp245
2013,3,14.094,ACCESS-ESM1-5,ssp245
2013,9,5.259,ACCESS-ESM1-5,ssp245
2014,3,14.077,ACCESS-ESM1-5,ssp245
2014,9,4.51,ACCESS-ESM1-5,ssp245
2015,3,14.225,ACCESS-ESM1-5,ssp245
2015,9,4.777,ACCESS-ESM1-5,ssp245
2016,3,14.712,ACCESS-ESM1-5,ssp245
2016,9,6.035,ACCESS-ESM1-5,ssp245
2017,3,14.635,ACCESS-ESM1-5,ssp245
2017,9,4.311,ACCESS-ESM1-5,ssp245
2018,3,14.792,ACCESS-ESM1-5,ssp245
2018,9,4.429,ACCESS-ESM1-5,ssp245
2019,3,14.827,ACCESS-ESM1-5,ssp245
2019,9,5.018,ACCESS-ESM1-5,ssp245
